,STATENAME,ACTIVITY LEVEL,WEEK,SEASON
5614,Alabama,2,40,2017
5615,Alabama,2,41,2017
5616,Alabama,2,42,2017
5617,Alabama,3,43,2017
5618,Alabama,4,44,2017
5619,Alabama,4,45,2017
5620,Alabama,5,46,2017
5621,Alabama,5,47,2017
5622,Alabama,5,48,2017
5623,Alabama,7,49,2017
5624,Alabama,10,50,2017
5625,Alabama,10,51,2017
5626,Alabama,10,52,2017
5627,Alabama,10,1,2017
5628,Alabama,10,2,2017
5629,Alabama,10,3,2017
5630,Alabama,10,4,2017
5631,Alaska,8,4,2017
5632,Alaska,6,3,2017
5633,Alaska,6,2,2017
5634,Alaska,6,1,2017
5635,Alaska,7,52,2017
5636,Alaska,6,51,2017
5637,Alaska,5,50,2017
5638,Alaska,6,49,2017
5639,Alaska,5,48,2017
5640,Alaska,4,47,2017
5641,Alaska,4,46,2017
5642,Alaska,2,45,2017
5643,Alaska,2,44,2017
5644,Alaska,3,43,2017
5645,Alaska,4,42,2017
5646,Alaska,2,41,2017
5647,Alaska,1,40,2017
5648,Arizona,2,40,2017
5649,Arizona,2,41,2017
5650,Arizona,1,42,2017
5651,Arizona,2,43,2017
5652,Arizona,3,44,2017
5653,Arizona,3,45,2017
5654,Arizona,3,46,2017
5655,Arizona,3,47,2017
5656,Arizona,3,48,2017
5657,Arizona,6,49,2017
5658,Arizona,10,50,2017
5659,Arizona,10,51,2017
5660,Arizona,10,52,2017
5661,Arizona,10,1,2017
5662,Arizona,10,2,2017
5663,Arizona,10,3,2017
5664,Arizona,10,4,2017
5665,Arkansas,10,4,2017
5666,Arkansas,10,3,2017
5667,Arkansas,10,2,2017
5668,Arkansas,10,1,2017
5669,Arkansas,10,52,2017
5670,Arkansas,10,51,2017
5671,Arkansas,10,50,2017
5672,Arkansas,8,49,2017
5673,Arkansas,4,48,2017
5674,Arkansas,1,47,2017
5675,Arkansas,3,46,2017
5676,Arkansas,1,45,2017
5677,Arkansas,1,44,2017
5678,Arkansas,1,43,2017
5679,Arkansas,1,42,2017
5680,Arkansas,1,41,2017
5681,Arkansas,1,40,2017
5682,California,2,40,2017
5683,California,1,41,2017
5684,California,1,42,2017
5685,California,1,43,2017
5686,California,2,44,2017
5687,California,2,45,2017
5688,California,2,46,2017
5689,California,3,47,2017
