AREA,STATENAME,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA AND PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
,,,,,,,,
State,Alabama,All,2017-18,40,5.9,56,953,> 100%
,,,,,,,,
State,Alabama,All,2017-18,41,5.6,56,998,> 100%
,,,,,,,,
State,Alabama,All,2017-18,42,7.4,73,980,> 100%
,,,,,,,,
State,Alabama,All,2017-18,43,6.1,58,949,> 100%
,,,,,,,,
State,Alabama,All,2017-18,44,6.1,61,"1,000",> 100%
,,,,,,,,
State,Alabama,All,2017-18,45,5.9,58,986,> 100%
,,,,,,,,
State,Alabama,All,2017-18,46,6,58,974,> 100%
,,,,,,,,
State,Alabama,All,2017-18,47,6.1,60,980,> 100%
,,,,,,,,
State,Alabama,All,2017-18,48,6.3,67,"1,062",> 100%
,,,,,,,,
State,Alabama,All,2017-18,49,5.7,60,"1,057",> 100%
,,,,,,,,
State,Alabama,All,2017-18,50,6.6,71,"1,071",> 100%
,,,,,,,,
State,Alabama,All,2017-18,51,5.2,53,"1,029",> 100%
,,,,,,,,
State,Alabama,All,2017-18,52,8.7,85,981,> 100%
,,,,,,,,
State,Alabama,All,2017-18,1,9,87,968,> 100%
,,,,,,,,
State,Alabama,All,2017-18,2,8.8,70,794,86%
,,,,,,,,
State,Alaska,All,2017-18,40,4.5,4,89,> 100%
,,,,,,,,
State,Alaska,All,2017-18,41,4.8,4,84,> 100%
,,,,,,,,
State,Alaska,All,2017-18,42,7.1,6,84,> 100%
,,,,,,,,
State,Alaska,All,2017-18,43,2.9,3,103,> 100%
,,,,,,,,
State,Alaska,All,2017-18,44,11,9,82,> 100%
,,,,,,,,
State,Alaska,All,2017-18,45,4.3,4,93,> 100%
,,,,,,,,
State,Alaska,All,2017-18,46,7,6,86,> 100%
,,,,,,,,
State,Alaska,All,2017-18,47,5.5,4,73,> 100%
,,,,,,,,
State,Alaska,All,2017-18,48,1.1,1,87,> 100%
,,,,,,,,
State,Alaska,All,2017-18,49,5.8,4,69,95.70%
,,,,,,,,
State,Alaska,All,2017-18,50,6.7,6,89,> 100%
,,,,,,,,
State,Alaska,All,2017-18,51,4.1,3,73,> 100%
,,,,,,,,
State,Alaska,All,2017-18,52,5.4,4,74,> 100%
,,,,,,,,
State,Alaska,All,2017-18,1,6.5,3,46,63.80%
,,,,,,,,
State,Alaska,All,2017-18,2,3.4,2,58,80.50%
,,,,,,,,
State,Arizona,All,2017-18,40,5,53,"1,064",> 100%
,,,,,,,,
State,Arizona,All,2017-18,41,5.5,57,"1,043",> 100%
,,,,,,,,
State,Arizona,All,2017-18,42,5.4,56,"1,042",> 100%
,,,,,,,,
State,Arizona,All,2017-18,43,6.5,67,"1,029",> 100%
,,,,,,,,
State,Arizona,All,2017-18,44,5.8,62,"1,068",> 100%
,,,,,,,,
State,Arizona,All,2017-18,45,5.5,56,"1,020",> 100%
,,,,,,,,
State,Arizona,All,2017-18,46,7,78,"1,122",> 100%
,,,,,,,,
State,Arizona,All,2017-18,47,6.2,67,"1,085",> 100%
,,,,,,,,
State,Arizona,All,2017-18,48,5.6,62,"1,107",> 100%
,,,,,,,,
State,Arizona,All,2017-18,49,6.3,67,"1,063",> 100%
,,,,,,,,
State,Arizona,All,2017-18,50,6.5,74,"1,130",> 100%
,,,,,,,,
State,Arizona,All,2017-18,51,6.8,88,"1,286",> 100%
,,,,,,,,
State,Arizona,All,2017-18,52,10.4,141,"1,360",> 100%
,,,,,,,,
State,Arizona,All,2017-18,1,11.8,138,"1,165",> 100%
,,,,,,,,
State,Arizona,All,2017-18,2,10.4,115,"1,106",> 100%
,,,,,,,,
State,Arkansas,All,2017-18,40,6.1,35,571,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,41,4.9,27,549,98.10%
,,,,,,,,
State,Arkansas,All,2017-18,42,5.6,32,567,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,43,6.9,42,606,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,44,5.5,34,615,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,45,7.8,47,600,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,46,8.2,50,612,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,47,7.2,44,609,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,48,7.3,45,616,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,49,9.5,64,675,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,50,7.2,51,704,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,51,9.2,64,692,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,52,9.7,66,679,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,1,11.3,68,604,> 100%
,,,,,,,,
State,Arkansas,All,2017-18,2,10.3,51,495,88.50%
,,,,,,,,
State,California,All,2017-18,40,6.4,309,"4,802",> 100%
,,,,,,,,
State,California,All,2017-18,41,6,293,"4,910",> 100%
,,,,,,,,
State,California,All,2017-18,42,6.5,319,"4,937",> 100%
,,,,,,,,
State,California,All,2017-18,43,6.8,334,"4,916",> 100%
,,,,,,,,
State,California,All,2017-18,44,6.3,308,"4,891",> 100%
,,,,,,,,
State,California,All,2017-18,45,6.4,312,"4,848",> 100%
,,,,,,,,
State,California,All,2017-18,46,7,335,"4,798",> 100%
,,,,,,,,
State,California,All,2017-18,47,6.6,330,"5,022",> 100%
,,,,,,,,
State,California,All,2017-18,48,7.2,353,"4,906",> 100%
,,,,,,,,
State,California,All,2017-18,49,6.9,359,"5,201",> 100%
,,,,,,,,
State,California,All,2017-18,50,7.3,392,"5,361",> 100%
,,,,,,,,
State,California,All,2017-18,51,8.6,483,"5,647",> 100%
,,,,,,,,
State,California,All,2017-18,52,10.2,650,"6,352",> 100%
,,,,,,,,
State,California,All,2017-18,1,13,762,"5,878",> 100%
,,,,,,,,
State,California,All,2017-18,2,13.7,679,"4,970",> 100%
,,,,,,,,
State,Colorado,All,2017-18,40,6.6,48,731,> 100%
,,,,,,,,
State,Colorado,All,2017-18,41,4.8,36,752,> 100%
,,,,,,,,
State,Colorado,All,2017-18,42,5.7,40,696,> 100%
,,,,,,,,
State,Colorado,All,2017-18,43,4.7,36,760,> 100%
,,,,,,,,
State,Colorado,All,2017-18,44,6.3,45,718,> 100%
,,,,,,,,
State,Colorado,All,2017-18,45,6.8,52,766,> 100%
,,,,,,,,
State,Colorado,All,2017-18,46,6.9,50,725,> 100%
,,,,,,,,
State,Colorado,All,2017-18,47,4.6,33,725,> 100%
,,,,,,,,
