,STATENAME,ACTIVITY LEVEL,WEEK,SEASON
0,Alabama,1,41,2015
1,Alabama,1,42,2015
2,Alabama,1,43,2015
3,Alabama,1,44,2015
4,Alabama,1,45,2015
5,Alabama,1,46,2015
6,Alabama,3,47,2015
7,Alabama,1,48,2015
8,Alabama,1,49,2015
9,Alabama,2,50,2015
10,Alabama,2,51,2015
11,Alabama,1,52,2015
12,Alabama,1,1,2015
13,Alabama,1,2,2015
14,Alabama,2,3,2015
15,Alabama,1,4,2015
16,Alabama,2,5,2015
17,Alabama,1,6,2015
18,Alabama,4,7,2015
19,Alabama,6,8,2015
20,Alabama,9,9,2015
21,Alabama,10,10,2015
22,Alabama,7,11,2015
23,Alabama,7,12,2015
24,Alabama,9,13,2015
25,Alabama,5,14,2015
26,Alabama,3,15,2015
27,Alabama,4,16,2015
28,Alabama,2,17,2015
29,Alabama,1,18,2015
30,Alabama,1,19,2015
31,Alabama,1,20,2015
32,Alabama,1,21,2015
33,Alabama,1,22,2015
34,Alabama,1,23,2015
35,Alabama,1,24,2015
36,Alabama,1,25,2015
37,Alabama,1,26,2015
38,Alabama,1,27,2015
39,Alabama,1,28,2015
40,Alabama,1,29,2015
41,Alabama,1,30,2015
42,Alabama,1,31,2015
43,Alabama,1,32,2015
44,Alabama,1,33,2015
45,Alabama,1,34,2015
46,Alabama,1,35,2015
47,Alabama,1,36,2015
48,Alabama,1,37,2015
49,Alabama,1,38,2015
50,Alabama,1,39,2015
51,Alaska,1,39,2015
52,Alaska,1,38,2015
53,Alaska,1,37,2015
54,Alaska,1,36,2015
55,Alaska,1,35,2015
56,Alaska,1,34,2015
57,Alaska,1,33,2015
58,Alaska,1,32,2015
59,Alaska,1,31,2015
60,Alaska,1,30,2015
61,Alaska,1,29,2015
62,Alaska,1,28,2015
63,Alaska,1,27,2015
64,Alaska,1,26,2015
65,Alaska,1,25,2015
66,Alaska,1,24,2015
67,Alaska,1,23,2015
68,Alaska,1,22,2015
69,Alaska,1,21,2015
70,Alaska,3,20,2015
71,Alaska,1,19,2015
72,Alaska,1,18,2015
73,Alaska,1,17,2015
74,Alaska,4,16,2015
75,Alaska,2,15,2015
76,Alaska,4,14,2015
77,Alaska,6,13,2015
78,Alaska,5,12,2015
